data,size,model,embed_size,embed_size,win_size,norm-syn,norm-sem,unnorm-syn,unnorm-sem
abj,4,ft,100,100,1,21.7054263565891,0,9.47459086993971,0.352733686067019
abj,8,ft,100,100,1,23.083548664944,0,16.1929371231697,0.529100529100529
abj,12,ft,100,100,1,22.9974160206718,0.881834215167548,15.848406546081,1.58730158730159
abj,16,ft,100,100,1,25.6675279931094,1.05820105820106,18.1739879414298,2.11640211640212
alpha,4,ft,100,100,1,21.2512413108242,0.355239786856128,0.099304865938431,0.532859680284192
alpha,8,ft,100,100,1,38.1330685203575,0.532859680284192,0.397219463753724,0.532859680284192
alpha,12,ft,100,100,1,43.9920556107249,0.532859680284192,1.88679245283019,0.355239786856128
alpha,16,ft,100,100,1,45.5809334657398,0.532859680284192,3.77358490566038,0.355239786856128
am,4,ft,100,100,1,8.93743793445879,0.35650623885918,0,0.53475935828877
am,8,ft,100,100,1,21.5491559086395,0.89126559714795,0,0.71301247771836
am,12,ft,100,100,1,28.8977159880834,1.24777183600713,0,2.31729055258467
am,16,ft,100,100,1,35.0546176762661,1.06951871657754,1.19165839126117,1.7825311942959
ar,4,ft,100,100,1,9.19329907540843,0.911409473539893,2.88186895305439,0.990579046168653
ar,8,ft,100,100,1,8.9328303844154,1.58867801031961,4.77518177065599,1.45286218824873
ar,12,ft,100,100,1,9.95555723034338,2.56064415966607,4.98526861974193,1.90348841690148
ar,16,ft,100,100,1,9.8682734063832,3.04060307373035,5.81703962833877,1.66010778761417
