data,size,model,embed_size,embed_size,win_size,norm-syn,norm-sem,unnorm-syn,unnorm-sem
am,4,sg,100,100,5,0.297914597815293,1.7825311942959,0,0.89126559714795
am,4,sg,200,200,5,0.397219463753724,2.13903743315508,0,1.7825311942959
am,8,sg,100,100,5,1.19165839126117,7.84313725490196,0,8.55614973262032
am,8,sg,200,200,5,1.09235352532274,6.06060606060606,0.099304865938431,9.09090909090909
am,12,sg,100,100,5,1.2909632571996,7.84313725490196,0,3.74331550802139
am,12,sg,200,200,5,1.5888778550149,3.20855614973262,0.099304865938431,5.3475935828877
am,16,sg,100,100,5,2.28401191658391,3.74331550802139,0.099304865938431,2.31729055258467
am,16,sg,200,200,5,2.78053624627607,3.38680926916221,0.198609731876862,4.09982174688057
ar,4,sg,100,100,5,2.56446357441126,2.88549974111848,1.99657882071237,1.28271729473411
ar,4,sg,200,200,5,1.96195663789895,2.38529987425429,1.99387056008077,2.45044929463248
ar,8,sg,100,100,5,3.93562852921809,6.63646545638153,2.59495303654383,3.12365474293953
ar,8,sg,200,200,5,3.94891562422525,6.53876373592224,4.37761742670435,5.84922191001752
ar,12,sg,100,100,5,5.01252562915545,8.73381143142161,2.02559922204406,2.38651823025041
ar,12,sg,200,200,5,4.52899413996264,8.19539524809205,4.17214489681206,6.53092930995996
ar,16,sg,100,100,5,6.00640890853116,10.4539453462464,3.4280119128468,3.92639009605916
ar,16,sg,200,200,5,5.80907418298865,9.68270296342711,5.58280745082482,7.04273052972146
